"ESPECIES";"INSTITUCIÓN";"AÑO";"AUTOR";"TÍTULO"
"Lycalopex culpaeus";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2010;"Equipo técnico del proyecto";"MASTOFAUNA DE LOS BOSQUES DE QUEÑOA (Polylepis tomentella y Polylepis besseri) EN LA REGIÓN TACNA"
"Lycalopex culpaeus";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente.";2012;"Equipo técnico de la GRRN y GMA";"PLAN MAESTRO ÁREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE - ACRVM."
"Lycalopex culpaeus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire""
"Lycalopex griseus";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Lycalopex griseus";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Lycalopex griseus";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\"";2013;"Horacio Zeballos Patrón.";"ELABORACIÓN DEL "ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO\""
"Lycalopex griseus";"Revista Peruana de Biología, Facultad de Ciencias Biológicas de la Universidad Nacional Mayor de San Marcos";2014;"Elena Vivar y Víctor Pacheco";"Estado del zorro gris Lycalopex griseus (Gray, 1837) (Mammalia: Canidae) en el Perú"
"Leopardus colocolo";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Leopardus colocolo";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Leopardus colocolo";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\"";2013;"Horacio Zeballos Patrón.";"ELABORACIÓN DEL "ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO\""
"Leopardus colocolo";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2010;"Equipo técnico del proyecto";"MASTOFAUNA DE LOS BOSQUES DE QUEÑOA (Polylepis tomentella y Polylepis besseri) EN LA REGIÓN TACNA"
"Leopardus colocolo";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente.";2012;"Equipo técnico de la GRRN y GMA";"PLAN MAESTRO ÁREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE - ACRVM."
"Leopardus jacobita";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Leopardus jacobita";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Leopardus jacobita";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"EVALUACIÓN DEL GATO ANDINO (Leopardus jacobita) EN LA REGION TACNA"
"Leopardus jacobita";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\"";2013;"Fiorella Nasha Gonzales Guillén.";"ESTUDIO POBLACIONAL DE GATO ANDINO (Leopardus jacobita. Cornalia, 1865) EN LA ZONA ALTOANDINA DE LA REGIÓN TACNA. "
"Leopardus jacobita";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente.";2012;"Equipo técnico de la GRRN y GMA";"PLAN MAESTRO ÁREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE - ACRVM."
"Leopardus jacobita";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire""
"Puma concolor";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Puma concolor";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Puma concolor";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\"";2013;"Horacio Zeballos Patrón.";"ELABORACIÓN DEL "ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO\""
"Puma concolor";"Gobierno Regional de Tacna. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"EVALUACIÓN DE PUMA (Puma concolor) EN LA REGIÓN TACNA"
"Puma concolor";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2010;"Equipo técnico del proyecto";"MASTOFAUNA DE LOS BOSQUES DE QUEÑOA (Polylepis tomentella y Polylepis besseri) EN LA REGIÓN TACNA"
"Puma concolor";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\"";2013;"Fiorella Nasha Gonzales Guillén.";"ESTUDIO POBLACIONAL DE PUMA (Puma concolor Linnaeus, 1771) EN LA ZONA ALTOANDINA DE LA REGIÓN TACNA."
"Puma concolor";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente.";2012;"Equipo técnico de la GRRN y GMA";"PLAN MAESTRO ÁREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE - ACRVM."
"Puma concolor";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire""
"Conepatus chinga";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Conepatus chinga";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Conepatus chinga";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\"";2013;"Horacio Zeballos Patrón.";"ELABORACIÓN DEL "ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO\""
"Conepatus chinga";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente.";2012;"Equipo técnico de la GRRN y GMA";"PLAN MAESTRO ÁREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE - ACRVM."
"Conepatus chinga";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire""
"Galictis cuja";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Galictis cuja";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Galictis cuja";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente.";2012;"Equipo técnico de la GRRN y GMA";"PLAN MAESTRO ÁREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE - ACRVM."
"Lontra felina";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Lontra felina";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Lontra felina";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\"";2013;"Giovanni Aragón Alvarado.";"ESTUDIO POBLACIONAL DE Lontra felina (NUTRIA MARINA) EN LA ZONA LITORAL DE TACNA"
"Lontra felina";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2008;"Giovanna Chipana Incacuña.";"EVALUACIÓN POBLACIONAL DE NUTRIA MARINA EN EL LITORAL DE TACNA."
"Lontra felina";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"EVALUACIÓN DE LA NUTRIA MARINA O CHUNGUNGO (Lontra felina) EN EL LITORAL DE TACNA"
"Arctocephalus australis";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Arctocephalus australis";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Otaria flavescens";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Otaria flavescens";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Otaria flavescens";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"EVALUACIÓN DEL LOBO MARINO CHUSCO (Otaria flavescens) EN LA REGION TACNA."
"Megaptera novaeangliae";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Megaptera novaeangliae";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Lama guanicoe";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Lama guanicoe";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Lama guanicoe";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"EVALUACIÓN DE GUANACO (Lama guanicoe) (Müller, 1776) EN LA REGIÓN TACNA."
"Lama guanicoe";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Horacio Zeballos Patrón";"Diagnóstico situacional de guanaco (Lama guanicoe) en la zona altoandina de la Región Tacna y su plan de conservación""
"Vicugna vicugna";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Vicugna vicugna";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Vicugna vicugna";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente.";2012;"Equipo técnico de la GRRN y GMA";"PLAN MAESTRO ÁREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE - ACRVM."
"Vicugna vicugna";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire""
"Hippocamelus antisensis";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Hippocamelus antisensis";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Hippocamelus antisensis";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"EVALUACIÓN DE TARUKA (Hippocamelus antisensis) EN LA REGIÓN TACNA"
"Hippocamelus antisensis";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente.";2012;"Equipo técnico de la GRRN y GMA";"PLAN MAESTRO ÁREA DE CONSERVACIÓN REGIONAL VILACOTA MAURE - ACRVM."
"Hippocamelus antisensis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire""
"Delphinus delphis";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Delphinus delphis";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
